"","date","dust_avg","fine_avg","dust_grade","fine_grade","IsDustyDay"
"649",20181206,38,17,3,3,0
"650",20181207,22,9,2,2,0
"651",20181208,24,9,2,2,0
"652",20181209,22,11,2,2,0
"653",20181210,35,19,3,3,0
"654",20181211,43,23,4,4,0
"655",20181212,46,23,4,4,0
"656",20181213,39,24,3,4,0
"657",20181214,33,18,3,3,0
"658",20181215,56,37.5,5,5,1
"659",20181216,53,40.5,5,6,1
"660",20181217,74,48,5,6,1
"661",20181218,46,26,4,5,1
"662",20181219,53,30,5,5,1
"663",20181220,59,37,5,5,1
"664",20181221,74,47.5,5,6,1
"665",20181222,86,63,6,7,1
"666",20181223,53,29,5,5,1
"667",20181224,23,12,2,2,0
"668",20181225,34,21,3,4,0
"669",20181226,51,25.5,5,4,1
"670",20181227,26,8,2,1,0
"671",20181228,36,13,3,2,0
"672",20181229,38.5,9,3,2,0
"673",20181230,32.5,17,3,3,0
"674",20181231,46.5,29.5,4,5,1
"675",20191205,26,14,2,2,0
"676",20191204,29,15,2,2,0
"677",20191203,29,16,2,3,0
"678",20191202,23,13,2,2,0
"679",20191201,41,28,4,5,1
"680",20191130,46,28,4,5,1
"681",20191129,45,23,4,4,0
"682",20191128,37.5,20,3,3,0
"683",20191127,39,21,3,4,0
"684",20191126,26,15,2,2,0
"685",20191125,26,14,2,2,0
"686",20191124,31,19,3,3,0
"687",20191123,34.5,18,3,3,0
"688",20191122,45,21,4,4,0
"689",20191121,37,18,3,3,0
"690",20191120,22,10,2,2,0
"691",20191119,30,9,2,2,0
"692",20191118,77,13,6,2,1
"693",20191117,27.5,15,2,2,0
"694",20191116,31,20,3,3,0
"695",20191115,23,13,2,2,0
"696",20191114,17,5,2,1,0
"697",20191113,35,25,3,4,0
"698",20191112,38,25.5,3,4,0
"699",20191111,27,18,2,3,0
"700",20191110,41,30,4,5,1
"701",20191109,40,23,3,4,0
"702",20191108,38,18,3,3,0
"703",20191107,45,27,4,5,1
"704",20191106,48,36,4,5,1
"705",20191105,33,23,3,4,0
"706",20191104,14,8,1,1,0
"707",20191103,52,34,5,5,1
"708",20191102,66,36,5,5,1
"709",20191101,86,34,6,5,1
"710",20191031,66,24,5,4,1
"711",20191030,24,12,2,2,0
"712",20191029,91,17,6,3,1
"713",20191028,32,22,3,4,0
"714",20191027,24,17,2,3,0
"715",20191026,24,16,2,3,0
"716",20191025,23,13,2,2,0
"717",20191024,27,19,2,3,0
"718",20191023,22,16,2,3,0
"719",20191022,36,26,3,5,1
"720",20191021,39,28,3,5,1
"721",20191020,38,27,3,5,1
"722",20191019,19,11,2,2,0
"723",20191018,16,11,2,2,0
"724",20191017,28,19,2,3,0
"725",20191016,26,17,2,3,0
"726",20191015,17,9,2,2,0
"727",20191014,30,15,2,2,0
"728",20191013,19,9,2,2,0
"729",20191012,25,12,2,2,0
"730",20191011,36,20.5,3,3,0
"731",20191010,30.5,14,2,2,0
"732",20191009,25,9,2,2,0
"733",20191008,24,10,2,2,0
"734",20191007,11,7,1,1,0
"735",20191006,12,5,1,1,0
"736",20191005,43,24,4,4,0
"737",20191004,27,16,2,3,0
"738",20191003,8.5,4,1,1,0
"739",20191002,24,17,2,3,0
"740",20191001,48,32,4,5,1
"741",20190930,51.5,33,5,5,1
"742",20190929,38.5,25,3,4,0
"743",20190928,28.5,18,2,3,0
"744",20190927,23,12,2,2,0
"745",20190926,28,16,2,3,0
"746",20190925,31,16.5,3,3,0
"747",20190924,25,12,2,2,0
"748",20190923,14.5,6,1,1,0
"749",20190922,6.5,4,1,1,0
"750",20190921,16,7.5,2,1,0
"751",20190920,24,10,2,2,0
"752",20190919,29,11,2,2,0
"753",20190918,34,13,3,2,0
"754",20190917,20,9,2,2,0
"755",20190916,13.5,6,1,1,0
"756",20190915,16,10,2,2,0
"757",20190914,19,11,2,2,0
"758",20190913,13.5,6,1,1,0
"759",20190912,12,5,1,1,0
"760",20190911,8,5,1,1,0
"761",20190910,14,9,1,2,0
"762",20190909,37,26,3,5,1
"763",20190906,16,8,2,1,0
"764",20190905,11,6,1,1,0
"765",20190904,9,4,1,1,0
"766",20190903,23,14,2,2,0
"767",20190902,27,15,2,2,0
"768",20190901,21,13,2,2,0
"769",20190831,20,10,2,2,0
"770",20190830,20,10,2,2,0
"771",20190829,29,20,2,3,0
"772",20190828,31,20,3,3,0
"773",20190827,27,18,2,3,0
"774",20190826,26,16,2,3,0
"775",20190825,21.5,13,2,2,0
"776",20190824,23,11,2,2,0
"777",20190823,33,19,3,3,0
"778",20190822,39,26,3,5,1
"779",20190821,30.5,22,2,4,0
"780",20190820,30,20,2,3,0
"781",20190819,26,16,2,3,0
"782",20190818,23,14,2,2,0
"783",20190817,33,20.5,3,3,0
"784",20190816,18,9,2,2,0
"785",20190815,9,5,1,1,0
"786",20190814,21,12,2,2,0
"787",20190813,25,15,2,2,0
"788",20190812,18,13,2,2,0
"789",20190811,18,11,2,2,0
"790",20190810,22.5,14,2,2,0
"791",20190809,28,19,2,3,0
"792",20190808,42,30,4,5,1
"793",20190807,20,13,2,2,0
"794",20190806,30,22,2,4,0
"795",20190805,41,30,4,5,1
"796",20190804,29,21,2,4,0
"797",20190803,22,14,2,2,0
"798",20190802,20,12,2,2,0
"799",20190801,14,9,1,2,0
"800",20190731,17,9,2,2,0
"801",20190730,19,11,2,2,0
