"","date","dist","m20","m25","m30","m35","m40","m45","m50","m55","f20","f25","f30","f35","f40","f45","f50","f55"
"1774","20180211",1124077030001,909,1611.80147501505,1055.33488862131,680.684978928356,414.699428055388,238.349939795304,-71.580373269115,-150.437236604455,1652,932,2166,1389,384,183,335,187
"1775","20180211",1124080020103,16,202.427302829621,117.76745936183,530.899006622516,383.96508127634,153.903220951234,-58.1744431065623,23.769717037929,452.5,863,683,1189,716,356,363,358.5
"1776","20180211",1125073030007,474,19.2459361830223,-181.157284768212,-252.918121613486,-303.649157134256,-67.8788380493679,-105.578868151716,-257.368904274533,96,13,113,-365,284,-298,160,-283
"1777","20180217",1102052020001,-213,250.90999397953,338.948223961469,72.0981336544251,24.6831727874774,-62.3822998193859,-311.798314268513,-281.582028898254,-187,-315,-264.5,20,-252,-304,-193.5,-214
"1778","20180217",1108068010002,-230,-187.093804284887,-62.0369978858351,-341.246149199638,-194.980276581274,-210.091076510966,-191.340829901806,-9.89500640204869,-99,-447,-365,-161,-92,-46,76,151
"1779","20180217",1109071040006,-41,-189.202739313666,-378.83905611859,-297.733443708609,-233.890728476821,-129.193708609272,-298.218543046358,-166.230514096186,-234,-309,-255,-194,-65,-66,-2,-41
"1780","20180217",1111066030001,412.5,-21.9340758579169,-311.280102347983,-361.412703190849,-546.229831426851,-362.063214930765,-300.855207706201,-287.2492474413,151.5,-453,-489,-515,-405,-256,-151,-201
"1781","20180217",1113075030009,339,-318.046207104154,194.238862131246,-229.935129440096,-254.33895243829,-228.085641180012,-208.41168395363,-61.3282661047562,131,-621,-48.5,-155.5,-191.5,-431,-343,-506
"1782","20180217",1115051010002,NA,-96.0722689075631,NA,-362.429166666667,51.8162251655629,66.1059602649007,13.4751655629139,52.8664459161148,-247,-330.5,NA,10,105.5,264,354,276
"1783","20180217",1117051030002,-24,-273.206208425721,-387.043934326543,-399.486754966887,-341.376175548589,-301.852147852148,-156.276083916084,-103.014260249554,-309,-432,-369,-209,-168,-55,31,41
"1784","20180217",1119074050006,-254,-416.014900662252,-513.165562913907,-458.093919325707,-197.084437086093,-203.60791691752,-78.6288380493679,-273.918121613486,-158,-202,-218,-275,-170,-167,-178,-295
"1785","20180217",1121052010001,23.5,-43.4894671623296,-290.825089803813,-548.876994800072,-272.260154738878,-65.2367688022284,174.513124199744,73.4383954154728,-201,-482,146,-109,-139,-100,-22,-119.5
"1786","20180217",1122060020102,-74,-181.008729680915,-127.59000602047,-246.022125225768,-77.350090307044,-406.412552679109,4.10761589403972,14.9379891631547,-169,-169,-234,93,-286,256,252,245.5
"1787","20180217",1123051010203,-192,-331.856299212598,NA,-316.159519725558,-347.950431034483,95.2971807628524,-108.265,NA,-351,-416,-400,NA,335.5,306,NA,-170
"1788","20180217",1123058040001,-136,-330.377934978928,-390.693859121011,-499.595725466586,-431.104304635762,-359.051324503311,-219.841059602649,-139.077814569536,-320,-499,-523,-294,-133,-133,-33,-70
"1789","20180217",1123063020012,-119,434.429635761589,52.4834437086093,206.579470198675,5.49797645327445,-100.068432671082,223.76738410596,40.4503311258278,100,275,283,400,-225.5,-254,-121,366
"1790","20180217",1124077030001,473,1129.2560204696,756.971252257676,656.412251655629,306.426700782661,243.71357615894,-155.398555087297,-24.346327513546,500,824,796,1039,391,60,-111,-40
"1791","20180217",1124080020103,-13,210.427302829621,251.403822998194,688.171733895244,570.419626730885,280.994130042143,-16.4471703792896,90.8606261288381,65.5,627,801,1017,425,674,550,374.5
"1792","20180217",1125073030007,392,-183.299518362432,-172.793648404576,-470.46357615894,-382.28552077062,-295.515201685731,-147.397049969898,-212.823449729079,259,13,70,150,284,-265,-242,-259
"1793","20180218",1102052020001,160,668.00090307044,450.584587597833,454.098133654425,309.864990969296,49.0722456351596,-189.343768813967,-144.582028898254,96,588,142.5,189,152,216,360.5,114
"1794","20180218",1108068010002,-12,-107.82107701216,-30.4006342494715,-180.518876472365,-327.434822035819,-479.454712874602,4.65917009819447,-30.8950064020487,-172,-447,-98,-43,7,-518,76,123
"1795","20180218",1109071040006,-86,-37.1118302227574,-312.83905611859,-264.915261890427,-196.163455749548,-117.193708609272,-253.036724864539,-118.230514096186,-300,-221,-188,-148,-10,-22,108,-30
"1796","20180218",1111066030001,900.5,219.429560505719,-73.3710114388922,-344.594521372667,-445.957104154124,-172.608669476219,-238.582480433474,-198.794701986755,506.5,-81,-309,-297,-210,-96,151,7
"1797","20180218",1113075030009,-231,-467.228025285972,168.147953040337,-181.389674894642,-224.248043347381,-212.085641180012,-329.229865771812,-112.146447922938,123,-562,66.5,116.5,-155.5,-327,-229,-418
"1798","20180218",1115051010002,3,-154.072268907563,-447.093673965937,-376.929166666667,12.1495584988962,-226.894039735099,-67.5248344370861,4.03311258278146,-391.5,-523,-463.5,10,81,-155,114,-1
"1799","20180218",1117051030002,-120,-308.115299334812,-549.498479781088,-360.304936785069,-363.830721003135,-309.215784215784,-172.548811188811,-101.832442067736,-159,-340,-919,-685,-173,-143,64,14
"1800","20180218",1119074050006,-151,-354.19671884407,-500.529199277544,-636.639373871162,-547.448073449729,-322.880644190247,-431.537928958459,-394.281757977122,-28,-24,-131,-217,-89,-141,-91,-197
"1801","20180218",1121052010001,207,-209.974315647178,-340.679635258359,-471.695176618253,-268.441972920696,-265.327677893138,204.37676056338,-50.7044617273844,-73,-545,-152,-184,-128,-100,127,-125
"1802","20180218",1122060020102,78,95.5367248645395,-133.862733293197,-338.74939795304,-429.804635761589,-491.594370860927,-257.89238410596,-144.152919927754,25,143,-19,-118,-253,-166,-44,-121.5
"1803","20180218",1123051010203,-42.5,-344.856299212598,-316.731313131313,-431.302376868415,-349.200431034483,0.260817126488803,-112.550714285714,-227.615066225166,-351,-469.5,-400,-411,273.5,161,-248,-1
"1804","20180218",1123058040001,-70,-246.287025888019,-360.602950030102,-304.050270921132,-263.195213726671,-175.869506321493,-106.931968693558,21.7403672486454,-177,-347,-209,-120,-111,-45,11,246
"1805","20180218",1123063020012,279,304.376064333018,105.083443708609,15.0794701986755,122.148770104068,-113.877956480605,227.94238410596,33.1169977924945,315,168,159,348.5,-276,-254,-71.5,-80.5
"1806","20180218",1124077030001,1099,1624.34692956051,1199.42579771222,949.866797110175,328.972155328116,482.349939795304,-92.2167369054786,-54.255418422637,1185,1694,1922,1091,821,516,127,208
"1807","20180218",1124080020103,225,603.063666465984,342.312913907285,1021.35355207706,751.87417218543,349.994130042143,109.825556893438,226.860626128838,1198.5,1161,945,1596,1082,641,726,675.5
